job_title,company_name,posted_date,num_applications,job_modality,f_p_time,job_responsibility,job_skills,job_keyword,city,community_or_nation,country,annual_salary,offer_id
Data Insights Analyst,Delectatech,2024-02-28,23,Híbrido,Jornada completa,Junior,"Analítica de datos, Capacidad de análisis, Ciencia de datos, SQL y Visualización de datos, Analítica, Conocimientos comerciales, Indicadores clave de desempeño, MongoDB y NoSQL",Data Analyst,Barcelona,Cataluña,España,,101
Data Analyst - Business Intelligence,Mystery Project,2024-02-21,13,Híbrido,Jornada completa,,"Analítica de datos, Bases de datos, Ciencia de datos y Visualización de datos, Análisis de negocio, Estadística, Extraer, transformar y cargar (ETL), Indicadores clave de desempeño, Modelado de datos y Qlik Sense",Data Analyst,Figueres,Cataluña,España,,102
Analista de datos,RDT Ingenieros,2024-02-13,11,Presencial,Jornada completa,Junior,,Data Analyst,Bilbao,País Vasco,España,,103
Analista BI,HH hunters,2023-08-13,443,Híbrido,Jornada completa,Intermedio,,Data Analyst,Madrid,Comunidad de Madrid,España,,104
Junior Insight Analyst,Harnham,2024-03-06,48,Presencial,Jornada completa,Intermedio,"Analítica de datos, Capacidad de análisis, Comunicación, Inglés, Microsoft Power BI y SQL, Analítica, Aptitudes para hacer presentaciones, Conocimientos comerciales y Panel de control",Data Analyst,Stafford,Inglaterra,Reino Unido,,105
BI Analyst (REMOTE),RemoteWorker UK,2024-03-08,371,En remoto,Jornada completa,Intermedio,"Analítica de datos, Análisis de datos, Bases de datos, Capacidad de análisis y Visualización de datos, Analítica, Evaluación de negocios, Extraer, transformar y cargar (ETL), Inteligencia empresarial y Panel de control",Data Analyst,,,Reino Unido,,106
Data Analyst - Python - Junior (m/f/d),emagine,2024-03-06,514,,,,"Analítica de datos, Análisis de datos y Visualización, Data Control, Desarrollo de API, Distributed Computing, Lado del servidor, Modelo de datos, Multiprocessing y PySpark",Data Analyst,Londres,Inglaterra,Reino Unido,,107
Apprentice Data Analyst - Data Science & Analytics,Smart DCC,2024-03-10,814,Presencial,Jornada completa,Junior,,Data Analyst,Mánchester,Inglaterra,Reino Unido,,108
Data Research Analyst - SMB (Remote),RemoteWorker UK,2024-03-12,6,En remoto,Jornada completa,Intermedio,"Analítica de datos, Ciencia de datos y Visualización de datos, Estadística, Investigación de datos, Investigación de mercado, Liderazgo de equipos, Manipulación de datos, Recogida de datos y System Performance",Data Analyst,Londres,Inglaterra,Reino Unido,,109
ESG Data Analyst,Formula 1,2024-03-12,1107,Presencial,Jornada completa,Intermedio,"Analítica de datos, Análisis de datos, Capacidad de análisis y Visualización de datos, Atención al detalle, Calidad de datos, Indicadores clave de desempeño, Presentaciones, Relaciones legislativas y Requisitos de información",Data Analyst,Londres,Reino Unido,,,110
Data Analyst: HR and People,Twinkl Educational Publishing,2024-02-21,1183,En remoto,,Intermedio,"Capacidad de análisis, SQL, Trabajo en equipo y Visualización de datos, Análisis de recursos humanos, Colaboraciones interdisciplinares, Elaboración de informes de datos, Recursos humanos (RR. HH.) y Sistemas de información de recursos humanos (HRIS)",Data Analyst,,,Reino Unido,40000,111
Data Analyst,FDM Group,2024-03-06,173,Híbrido,Jornada completa,Intermedio,"Análisis de datos, Capacidad de análisis, Ciencia de datos y Python, Documentación técnica, Medidas contra el lavado de dinero, R (Lenguaje de programación), Simulaciones, Tecnología de la información y Validación de modelos",Data Analyst,Londres,Inglaterra,Reino Unido,,112
Data Analyst - Link for MedTech (Remote),Veeva Systems,2024-02-28,369,En remoto,Jornada completa,,"SQL y Tableau, Análisis sanitario y Compromiso de los clientes",Data Analyst,,,Reino Unido,,113
Data Analyst (Graduate),Wabtec Corporation,2024-03-06,850,Presencial,Jornada completa,Junior,"Analítica de datos, Ciencia de datos y Visualización de datos, Catalogue Design, Gestión de datos, Indicadores clave de desempeño, Kitting, Operational Execution, Panel de control y Ventas de nuevos negocios",Data Analyst,Burton-upon-Trent,Inglaterra,Reino Unido,,114
Data Analyst REx Team,Accelerant,2024-03-12,1033,En remoto,Jornada completa,Junior,"Analítica de datos, Ciencia de datos, Comunicación, Resolución de problemas, Visualización y Visualización de datos, Analítica, Atención al detalle, Indicadores clave de desempeño y Panel de control",Data Analyst,,,Reino Unido,,115
Online Data Analyst,TELUS International,2024-03-06,981,En remoto,Media jornada,Junior,"Análisis de datos, Inglés y Investigación, Adquisición de conocimientos, Contenido online, Definición de requisitos, Inglés hablado, Investigación online, Medios de comunicación social y Trabajo en remoto",Data Analyst,Londres,Inglaterra,Reino Unido,,116
Online Data Analyst - United Kingdom,TELUS International,2024-02-28,365,En remoto,Media jornada,Junior,"Bases de datos, Capacidad de análisis, Inglés, Resolución de problemas y Visualización de datos, Aseguramiento de la calidad, Cultural Affairs, Investigación online, Medios de comunicación social y Motores de búsqueda",Data Analyst,Staffordshire,Inglaterra,Reino Unido,,117
Data Analyst FTC,Munich Re,2024-03-10,1158,Híbrido,Jornada completa,Junior,"Analítica de datos, Capacidad de análisis, Ciencia de datos, Limpieza de datos y Visualización de datos, Analítica, Gestión de datos, Informes ad hoc, Necesidades empresariales y Visual Basic for Applications (VBA)",Data Analyst,Londres,Inglaterra,Reino Unido,,118
SQL Data Analyst - 12M FTC,Robert Walters,2024-03-06,275,Presencial,,Junior,"Analítica de datos, Capacidad de análisis, SQL, Tableau y Visualización de datos, Dashboard Building, Documentación de proyectos, Gestión de partes interesadas, IT Documentation y Panel de control",Data Analyst,Londres,Inglaterra,Reino Unido,,119
Data Analyst Assistant,Aldi UK,2024-02-28,736,Híbrido,Jornada completa,Intermedio,"Comunicación, Administración de la cadena de suministro, Administración logística, Atención al detalle, Comunicación oral, Economía, Matemáticas, Mejora continua, Microsoft Excel y Microsoft Office",Data Analyst,Atherstone,Inglaterra,Reino Unido,,120
